place-alfcl,Alewife,42.395428,-71.142483
place-alsgr,Allston Street,42.348701,-71.137955
place-andrw,Andrew,42.330154,-71.057655
place-aport,Airport,42.374262,-71.030395
place-aqucl,Aquarium,42.359784,-71.051652
place-armnl,Arlington,42.351902,-71.070893
place-asmnl,Ashmont,42.284652,-71.064489
place-astao,Assembly,42.392811,-71.077257
place-babck,Babcock Street,42.35182,-71.12165
place-bbsta,Back Bay,42.34735,-71.075727
place-bckhl,Back of the Hill,42.330139,-71.111313
place-bcnfd,Beaconsfield,42.335846,-71.140823
place-bcnwa,Washington Square,42.339394,-71.13533
place-bland,Blandford Street,42.349293,-71.100258
place-bmmnl,Beachmont,42.39754234,-70.99231944
place-bndhl,Brandon Hall,42.340023,-71.129082
place-bomnl,Bowdoin,42.361365,-71.062037
place-boyls,Boylston,42.35302,-71.06459
place-brdwy,Broadway,42.342622,-71.056967
place-brico,Packards Corner,42.351967,-71.125031
place-brkhl,Brookline Hills,42.331333,-71.126999
place-brmnl,Brigham Circle,42.334229,-71.104609
place-brntn,Braintree,42.2078543,-71.0011385
place-bucen,Boston Univ. Central,42.350082,-71.106865
place-buest,Boston Univ. East,42.349735,-71.103889
place-butlr,Butler,42.272343,-71.062584
place-buwst,Boston Univ. West,42.350941,-71.113876
place-bvmnl,Brookline Village,42.332774,-71.116296
place-capst,Capen Street,42.267712,-71.087753
place-ccmnl,Community College,42.373622,-71.069533
place-cedgr,Cedar Grove,42.279682,-71.060432
place-cenav,Central Ave.,42.270027,-71.073334
place-chhil,Chestnut Hill,42.326653,-71.165314
place-chill,Chestnut Hill Ave.,42.338169,-71.15316
place-chmnl,Charles/MGH,42.361166,-71.070628
place-chncl,Chinatown,42.352547,-71.062752
place-chswk,Chiswick Road,42.340805,-71.150711
place-clmnl,Cleveland Circle,42.336142,-71.149326
place-cntsq,Central,42.365486,-71.103802
place-coecl,Copley,42.349974,-71.077447
place-cool,Coolidge Corner,42.342116,-71.121263
place-crtst,Courthouse,42.35245,-71.04685
place-davis,Davis,42.39674,-71.121815
place-denrd,Dean Road,42.337807,-71.141853
place-dwnxg,Downtown Crossing,42.355518,-71.060225
place-eliot,Eliot,42.319023,-71.216713
place-engav,Englewood Ave.,42.336971,-71.14566
place-fbkst,Fairbanks Street,42.339725,-71.131073
place-fenwd,Fenwood Road,42.333706,-71.105728
place-fenwy,Fenway,42.345394,-71.104187
place-fldcr,Fields Corner,42.300093,-71.061667
place-forhl,Forest Hills,42.300523,-71.113686
place-gover,Government Center,42.359705,-71.059215
place-grigg,Griggs Street,42.348545,-71.134949
place-grnst,Green Street,42.310525,-71.107414
